fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
46003,2735,2736,2762,2782
46005,19165,19181,19488,19591
46007,3388,3389,3333,3305
46009,6970,7000,7064,7065
46011,34343,34696,35491,35980
46013,38225,38117,37901,37733
46015,5241,5243,5301,5311
46017,1939,1894,1854,1884
46019,10293,10542,10790,10863
46021,1378,1376,1355,1340
46023,9368,9184,9232,9240
46025,3853,3873,3923,3948
46027,15000,15165,15301,15431
46029,28351,28484,28736,28971
46031,3895,3849,3817,3782
46033,8335,8639,9021,9117
46035,19956,19899,19907,19922
46037,5444,5426,5475,5451
46039,4295,4290,4361,4354
46041,5225,5223,5142,5208
46043,2834,2811,2787,2838
46045,3988,4034,4071,4057
46047,6970,7213,7397,7393
46049,2132,2124,2122,2151
46051,7538,7552,7486,7553
46053,4003,3957,3999,4018
46055,1866,1835,1834,1851
46057,6166,6264,6394,6451
46059,3140,3079,3112,3107
46061,3463,3510,3479,3471
46063,1308,1325,1339,1324
46065,17740,17760,17681,17624
46067,7426,7377,7351,7394
46069,1250,1230,1199,1186
46071,2799,2864,2832,2776
46073,1648,1645,1662,1660
46075,926,879,875,855
46077,5199,5201,5279,5276
46079,11017,10864,10940,11031
46081,25844,26162,27240,28053
46083,65648,67992,71024,73238
46085,3704,3763,3705,3705
46087,5670,5718,5768,5809
46089,2402,2416,2396,2334
46091,4308,4324,4363,4390
46093,29899,30289,30702,30954
46095,1920,1898,1873,1851
46097,2304,2311,2285,2280
46099,197695,199904,203845,206930
46101,6335,6305,6382,6450
46102,13648,13559,13508,13434
46103,109566,111886,114306,115903
46105,2842,2825,2809,2834
46107,2473,2471,2446,2413
46109,10250,10172,10139,10206
46111,2326,2373,2403,2399
46115,6340,6261,6228,6166
46117,2971,3035,3017,3043
46119,1451,1471,1482,1494
46121,9323,9301,9233,9199
46123,5611,5580,5579,5621
46125,8675,8679,8888,9027
46127,16860,16876,17063,17183
46129,5294,5260,5286,5269
46135,23286,23353,23412,23517
46137,2395,2385,2394,2322
47001,77320,77615,78929,80234
47003,50385,51184,51964,53055
47005,15855,15837,15994,16103
47007,14956,14837,14824,15060
47009,135657,137611,139810,141456
47011,108828,109755,110539,111579
47013,39301,39455,39564,40223
47015,14565,14537,14807,15063
47017,28434,28295,28418,28860
47019,56371,56080,56485,57022
47021,41131,41498,41764,42254
47023,17375,17465,17558,17606
47025,32072,32061,32357,32654
47027,7588,7586,7656,7714
47029,36045,36364,36849,37404
