fips_code,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
48467,6.2,4.800000000000001,3.5
48469,8.3,6.300000000000001,4.2
48471,7.2,6.300000000000001,4.7
48473,7.600000000000001,6.300000000000001,4.3
48475,9.5,6.9,3.7
48477,5.7,5.300000000000001,4.0
48479,8.5,6.300000000000001,4.100000000000001
48481,6.800000000000001,5.7,3.8
48483,6.100000000000001,6.2,3.9
48485,6.7,5.300000000000001,3.9
48487,5.9,6.600000000000001,4.9
48489,12.0,10.1,8.200000000000001
48491,5.800000000000001,4.0,2.9
48493,5.7,4.4,3.3
48495,9.5,7.5,3.9
48497,6.600000000000001,4.9,3.5
48499,6.600000000000001,5.7,4.5
48501,12.0,7.600000000000001,4.0
48503,5.300000000000001,4.600000000000001,3.4
48505,12.3,11.7,6.9
48507,14.3,12.4,8.6
49001,4.100000000000001,2.9,2.7
49003,4.5,2.5,2.3
49005,3.0,2.0,2.0
49007,5.4,3.9,3.5
49009,4.600000000000001,3.6,4.5
49011,4.2,2.5,2.2
49013,8.0,4.800000000000001,3.2
49015,4.800000000000001,3.9,3.3
49017,10.4,6.4,5.9
49019,9.600000000000001,4.4,3.2
49021,4.600000000000001,2.9,2.4
49023,3.1,2.0,2.0
49025,5.4,2.9,2.5
49027,3.3,2.4,2.3
49029,3.4,2.2,2.0
49031,6.2,4.3,4.100000000000001
49033,3.5,2.3,2.5
49035,5.2,2.8,2.3
49037,10.5,6.2,4.4
49039,3.8,2.9,2.7
49041,4.3,3.3,2.8
49043,7.4,2.9,2.1
49045,4.800000000000001,2.9,2.5
49047,9.5,5.5,3.6
49049,3.9,2.4,2.1
49051,6.600000000000001,2.9,2.3
49053,5.5,3.0,2.5
49055,7.7,4.800000000000001,4.4
49057,4.9,2.9,2.5
50001,4.600000000000001,3.0,2.4
50003,6.600000000000001,4.7,3.2
50005,6.0,4.0,3.1
50007,4.800000000000001,3.1,2.1
50009,7.7,5.2,4.0
50011,5.2,3.7,2.6
50013,5.9,4.2,3.3
50015,7.800000000000001,4.3,3.4
50017,5.300000000000001,3.5,2.6
50019,7.7,5.0,4.4
50021,6.800000000000001,4.5,3.3
50023,4.9,3.3,2.4
50025,6.800000000000001,4.800000000000001,2.9
50027,6.0,3.6,2.2
51001,6.7,4.3,3.3
51003,5.600000000000001,3.3,2.7
51005,6.800000000000001,4.100000000000001,3.3
51007,6.0,3.6,2.9
51009,5.800000000000001,3.7,3.1
51011,6.0,3.9,3.2
51013,4.600000000000001,3.0,2.1
51015,4.800000000000001,3.1,2.6
51017,10.3,4.4,2.5
